standard_id,standard_version,dimension_id,dimension_name_en,dimension_name_ja,code,label_en,label_ja,definition_en,definition_ja,scope_notes,examples,status,introduced_in,deprecated_in,removed_in,replaced_by,backward_compatible,references,owner,last_reviewed_date
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-001,Web UI,Web UI,Use via a web user interface.,WebブラウザUI経由の利用。,Includes direct SaaS UI usage.,chat.openai.com|claude.ai,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-002,API,API,Use via programmatic API integration.,API連携による利用。,Includes internal apps calling model APIs.,openai api|azure openai,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-003,IDE Plugin,IDEプラグイン,Use via IDE/editor plugin.,IDE/エディタプラグイン経由の利用。,Often developer tooling.,cursor|copilot,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-004,ChatOps,チャット連携,Use via chat platforms (Slack/Teams) integrations.,Slack/Teams等のチャット連携経由の利用。,Includes bot-based workflows.,slack bot|teams bot,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-005,Desktop App,デスクトップアプリ,Use via native desktop application.,ネイティブデスクトップアプリ経由の利用。,Includes Electron apps.,desktop client,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-006,Mobile App,モバイルアプリ,Use via native mobile application.,ネイティブモバイルアプリ経由の利用。,Includes iOS/Android.,mobile client,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-007,Email,メール,Use via email interface or email-based automation.,メール経由またはメール起点の自動化で利用。,Often via add-ins or automation.,email assistant,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,CH,Channel,チャネル,CH-008,Command Line,CLI,Use via command-line interface.,CLI経由の利用。,Often internal tools.,cli tool,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-001,Public,公開情報,Data that is publicly available and intended for public disclosure.,公開されており、公に利用されることを意図したデータ。,Still consider IP/copyright constraints.,public web|press release,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-002,Internal,社内情報,Non-public internal business data.,非公開の社内業務データ。,May include confidential business info.,internal wiki|project docs,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-003,Confidential,機密情報,Highly sensitive internal data requiring restricted access.,アクセス制限が必要な高機密データ。,Includes trade secrets.,strategy deck|M&A,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-004,Personal Data,個人情報,Personal data as defined by applicable privacy laws.,各国のプライバシー法令等で定義される個人データ。,Includes identifiers and personal attributes.,name|email,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-005,Sensitive Personal Data,要配慮個人情報,Special category/sensitive personal data.,要配慮個人情報（特別カテゴリ）に該当するデータ。,Higher controls required.,health|biometrics,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-006,Credentials,認証情報,Authentication secrets and credentials.,認証情報（パスワード、APIキー等）。,Must never be provided to external AI services unless explicitly allowed.,api key|password,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-007,Source Code,ソースコード,Source code and related artifacts.,ソースコードおよび関連アーティファクト。,Consider license/IP and secrets scanning.,repo|patch,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-008,Customer Data,顧客データ,Customer-provided or customer-related data.,顧客から提供された、または顧客に関連するデータ。,May include PII and contractual constraints.,tickets|usage logs,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-009,Operational Logs,運用ログ,Operational or system logs used for monitoring and troubleshooting.,監視・障害対応等に用いる運用/システムログ。,May include personal data; classify carefully.,syslog|audit log,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,DT,Data Type,データ種別,DT-010,Security Telemetry,セキュリティテレメトリ,Security telemetry such as alerts and detections.,アラート・検知等のセキュリティテレメトリ。,High integrity expectations.,edr alerts,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,FS,Functional Scope,機能スコープ,FS-001,End-user Productivity,社内生産性,"AI used to improve productivity of internal end users (writing, search, summarization, meeting notes).",社内業務の生産性向上を目的とした利用。,Exclude customer-facing core functions.,microsoft 365 copilot|notion ai,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,FS,Functional Scope,機能スコープ,FS-002,Customer-facing Features,顧客向け機能,AI embedded in product/service features provided to customers.,顧客に提供する製品・サービス機能に組み込まれたAI。,Includes AI-as-a-feature.,chatbot|recommendation,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,FS,Functional Scope,機能スコープ,FS-003,Developer Tooling,開発支援,AI used to assist software development and engineering tasks.,ソフトウェア開発・エンジニアリング作業を支援するAI利用。,Includes code generation and review tools.,cursor|github copilot,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,FS,Functional Scope,機能スコープ,FS-004,IT Operations,IT運用,"AI used for IT operations and system administration (monitoring, incident handling).",IT運用・システム管理（監視、インシデント対応等）でのAI利用。,May overlap with security operations; classify by primary intent.,aops|incident summarization,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,FS,Functional Scope,機能スコープ,FS-005,Security Operations,セキュリティ運用,"AI used for security monitoring/response (SOC, detection, triage).",セキュリティ監視・対応（SOC、検知、トリアージ等）でのAI利用。,"If primary goal is security posture, use FS-005.",soc copilot|alert triage,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,FS,Functional Scope,機能スコープ,FS-006,Governance & Compliance,ガバナンス/コンプライアンス,"AI used to support governance/compliance activities (policy, audit evidence).",ガバナンス/コンプライアンス業務（規程、監査証跡等）を支援するAI利用。,Includes evidence generation and control mapping support.,policy drafting|evidence bundle,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,IM,Integration Mode,統合形態,IM-001,Standalone,単体利用,Used standalone without integration into enterprise systems.,企業システム統合なしの単体利用。,Often highest shadow AI risk.,personal account,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,IM,Integration Mode,統合形態,IM-002,SaaS Integrated,SaaS連携,SaaS application integrates AI features.,SaaSアプリがAI機能を統合して提供。,Vendor-managed integration.,crm ai|support ai,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,IM,Integration Mode,統合形態,IM-003,Enterprise App Embedded,社内アプリ組込み,AI embedded into internal enterprise applications.,社内業務アプリにAIを組み込む。,Often via API with internal controls.,internal portal,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,IM,Integration Mode,統合形態,IM-004,RPA/Workflow,ワークフロー/RPA,AI invoked within workflow automation or RPA.,ワークフロー自動化/RPA内でAIを呼び出す。,Requires traceability of triggers and outputs.,n8n|zapier-like,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,IM,Integration Mode,統合形態,IM-005,On-prem / Private,オンプレ/プライベート,AI hosted in private/on-prem environment.,オンプレまたは専用環境でホストするAI。,May reduce data exfiltration risk.,self-hosted llm,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,IM,Integration Mode,統合形態,IM-006,Managed Service,マネージド,Use via managed service with enterprise controls.,企業統制を伴うマネージドサービスとして利用。,Includes centrally managed accounts and logging.,enterprise chatgpt,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,IM,Integration Mode,統合形態,IM-007,Shadow / Unmanaged,シャドー/未管理,Use outside of approved governance controls.,承認された統制外での利用。,Track as shadow AI.,personal SaaS,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,LG,Log/Event Type,ログ/記録種別,LG-001,Request Record,申請記録,Evidence that an AI use/service was requested and described.,AI利用/サービスの申請と内容説明の証跡。,Lifecycle: request.,request form,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,LG,Log/Event Type,ログ/記録種別,LG-002,Review/Approval Record,審査/承認記録,Evidence that a review/approval was performed.,審査・承認が実施されたことの証跡。,Lifecycle: review/approval.,approval log,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,LG,Log/Event Type,ログ/記録種別,LG-003,Exception Record,例外記録,Evidence that an exception was granted and tracked.,例外が付与され、管理された証跡。,Lifecycle: exception.,exception memo,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,LG,Log/Event Type,ログ/記録種別,LG-004,Renewal/Re-evaluation Record,更新/再評価記録,Evidence that renewal or re-evaluation occurred.,更新または再評価が行われた証跡。,Lifecycle: renewal.,renewal checklist,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,LG,Log/Event Type,ログ/記録種別,LG-005,Change Log Entry,変更管理記録,Evidence of changes and their approvals.,変更内容と承認の証跡。,Lifecycle: change log.,change ticket,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,LG,Log/Event Type,ログ/記録種別,LG-006,Integrity Proof,完全性証明,"Evidence of integrity (hash, signature, WORM).",完全性（ハッシュ、署名、WORM等）の証跡。,Supports evidence readiness.,sha256|signature,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,LG,Log/Event Type,ログ/記録種別,LG-007,Access Log,アクセスログ,Evidence of access control and access history.,アクセス制御とアクセス履歴の証跡。,Supports accountability and SoD.,audit log,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,LG,Log/Event Type,ログ/記録種別,LG-008,Model/Service Inventory,AI資産台帳,Inventory record of models/services used.,利用するモデル/サービスの台帳記録。,Supports governance baseline.,inventory,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,LG,Log/Event Type,ログ/記録種別,LG-009,Risk Assessment,リスク評価,Documented risk assessment for the use/service.,利用/サービスのリスク評価文書。,May reference RS codes.,risk assessment,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,LG,Log/Event Type,ログ/記録種別,LG-010,Control Mapping,統制マッピング,Control mapping evidence to external frameworks.,外部フレームワークへの統制マッピング証跡。,Informative mapping only.,coverage mapping,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,LG,Log/Event Type,ログ/記録種別,LG-011,Training/Guidance,教育/ガイダンス,Evidence of training or guidance provided to users.,利用者に提供した教育/ガイダンスの証跡。,Supports adoption and safe use.,training,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,LG,Log/Event Type,ログ/記録種別,LG-012,Monitoring Evidence,監視証跡,Evidence of monitoring and ongoing oversight.,監視・継続的監督の証跡。,Includes periodic review logs.,monitoring log,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,LG,Log/Event Type,ログ/記録種別,LG-013,Incident Record,インシデント記録,Evidence of incident handling related to AI use.,AI利用に関連するインシデント対応の証跡。,Link to IR processes.,incident ticket,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,LG,Log/Event Type,ログ/記録種別,LG-014,Third-party Assessment,第三者評価,Evidence of vendor or third-party assessment.,ベンダー/第三者評価の証跡。,Supports third-party risk management.,vendor assessment,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,LG,Log/Event Type,ログ/記録種別,LG-015,Attestation/Sign-off,宣誓/サインオフ,Formal attestation or sign-off record.,正式な宣誓/サインオフの証跡。,Used where required by policy.,sign-off,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,OB,Outcome / Benefit,成果,OB-001,Efficiency,効率化,Improves time/cost efficiency.,時間・コスト効率の改善。,Measure via cycle time reduction.,time saved,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,OB,Outcome / Benefit,成果,OB-002,Quality,品質向上,Improves quality/accuracy of outputs.,成果物の品質・精度向上。,Measure via error reduction.,fewer errors,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,OB,Outcome / Benefit,成果,OB-003,Revenue,売上貢献,Contributes to revenue growth.,売上成長への寄与。,Measure via conversion uplift.,conversion,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,OB,Outcome / Benefit,成果,OB-004,Risk Reduction,リスク低減,Reduces operational/security/compliance risk.,運用・セキュリティ・コンプライアンスリスクの低減。,Measure via incident reduction.,fewer incidents,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,OB,Outcome / Benefit,成果,OB-005,Innovation,新規性/革新,Enables new capabilities or innovations.,新たな能力・イノベーションを実現。,Measure via new features/offerings.,new feature,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,OB,Outcome / Benefit,成果,OB-006,Customer Satisfaction,顧客満足,Improves customer satisfaction.,顧客満足の向上。,Measure via NPS/CSAT.,csat,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,OB,Outcome / Benefit,成果,OB-007,Employee Experience,従業員体験,Improves employee experience.,従業員体験の向上。,Measure via surveys.,ex,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,RS,Risk Surface,リスク面,RS-001,Data Leakage,情報漏えい,Risk of unintended data disclosure.,意図しないデータ開示のリスク。,Includes prompt injection and retention risks.,pii exfiltration,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,RS,Risk Surface,リスク面,RS-002,Security Abuse,悪用/攻撃,Risk that the system is abused for malicious purposes.,悪用（攻撃支援等）に利用されるリスク。,Includes malware generation and social engineering.,phishing|malware,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,RS,Risk Surface,リスク面,RS-003,Compliance Breach,法令/規程違反,Risk of violating laws/regulations/policies.,法令・規程・契約の違反リスク。,Includes export control and privacy laws.,gdpr|ai act,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,RS,Risk Surface,リスク面,RS-004,IP Infringement,知財侵害,Risk of infringing copyright/patent/trade secrets.,著作権・特許・営業秘密等の侵害リスク。,Includes training data provenance and output reuse.,copyright,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,RS,Risk Surface,リスク面,RS-005,Model Misuse,モデル誤用,Risk from inappropriate model use or over-reliance.,モデルの不適切利用・過信によるリスク。,Includes hallucination impacts.,hallucination,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,RS,Risk Surface,リスク面,RS-006,Bias/Fairness,偏り/公平性,Risk of unfair or biased outcomes.,不公平・偏りのある結果を生むリスク。,Relevant for HR/credit decisions.,bias,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,RS,Risk Surface,リスク面,RS-007,Safety,安全性,Risk of harmful content or unsafe recommendations.,有害コンテンツや危険な推奨のリスク。,Safety policies needed.,self-harm advice,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,RS,Risk Surface,リスク面,RS-008,Third-party Risk,第三者リスク,"Vendors, sub-processors, and model provider risks.",ベンダー/下請け/モデル提供者に起因するリスク。,Assess contracts and controls.,vendor,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-001,General Q&A,一般QA,General question answering and conversational use.,一般的な質問応答・対話利用。,Low to medium risk depending on data type.,chat,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-002,Summarization,要約,"Summarizing documents, meetings, or messages.",文書・会議・メッセージの要約。,Risk depends on confidentiality.,meeting notes,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-003,Translation,翻訳,Translation between languages.,言語間翻訳。,Beware of sensitive data in prompts.,translation,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-004,Content Drafting,文章作成,"Generating drafts for emails, documents, or reports.",メール・文書・レポートの下書き生成。,Requires review and attribution policy.,draft email,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-005,Code Generation,コード生成,Generating code or scripts.,コードやスクリプトの生成。,Must scan for secrets and licensing.,code snippet,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-006,Code Review,コードレビュー,Reviewing code for issues and improvements.,コードの問題点・改善点レビュー。,May expose proprietary code.,review,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-007,Data Analysis,データ分析,Analyzing structured data and producing insights.,構造化データの分析と洞察生成。,Consider data classification and export restrictions.,csv analysis,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-008,Classification/Tagging,分類/タグ付け,Classifying or labeling content.,コンテンツの分類・タグ付け。,Used for routing and triage.,ticket triage,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-009,Search/RAG,検索/RAG,RAG-based retrieval and question answering.,RAGによる検索・質問応答。,Risk depends on indexed data scope.,enterprise search,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-010,Agentic Automation,エージェント自動化,Autonomous or semi-autonomous agents executing actions.,自律/半自律エージェントによるアクション実行。,Highest need for controls and logging.,agent workflow,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-011,Security Triage,セキュリティ一次対応,Assisting security operations triage.,セキュリティ運用の一次対応支援。,Ensure confidentiality and integrity.,alert triage,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-012,Policy/Control Mapping,規程/統制マッピング,Mapping controls and evidence to frameworks.,統制と証跡をフレームワークへ対応付け。,Informative mapping only; not legal advice.,coverage map,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-013,Customer Support,顧客対応,Supporting customer support interactions.,顧客対応業務支援。,Be careful with customer data.,support bot,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-014,Sales Enablement,営業支援,Supporting sales activities.,営業活動支援。,Avoid sharing confidential pricing/strategy.,proposal draft,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-015,HR Support,人事支援,Supporting HR processes.,人事プロセス支援。,Personal data risks are high.,job description,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-016,Finance Analysis,財務分析,Supporting finance analysis tasks.,財務分析支援。,Consider regulatory and confidentiality constraints.,forecast,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-017,Legal Drafting,法務ドラフト,Supporting legal drafting tasks.,法務文書ドラフト支援。,Not legal advice; require review.,contract draft,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-018,Procurement Support,調達支援,Supporting procurement tasks.,調達業務支援。,Vendor and contract data considerations.,rfp draft,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-019,IT Helpdesk,ITヘルプデスク,Supporting IT helpdesk operations.,ITヘルプデスク業務支援。,May access internal credentials; handle carefully.,ticket assistant,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-020,Documentation,ドキュメント整備,Generating and maintaining documentation.,ドキュメント生成・整備。,Ensure accuracy and change control.,runbook,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-021,Knowledge Base,ナレッジベース,Building and querying knowledge bases.,ナレッジベース構築・検索。,RAG governance needed.,kb,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-022,Monitoring/Observability,監視/可観測性,Assisting monitoring and observability tasks.,監視・可観測性業務支援。,Operational logs classification required.,log analysis,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-023,Incident Response,インシデント対応,Assisting incident response workflows.,インシデント対応ワークフロー支援。,Evidence integrity is critical.,ir assistant,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-024,Threat Modeling,脅威モデリング,Supporting threat modeling activities.,脅威モデリング支援。,May involve sensitive system details.,threat model,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-025,Control Testing,統制テスト,Assisting control testing and evidence review.,統制テスト・証跡レビュー支援。,Informative; auditors decide procedures.,control test,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-026,Training/Learning,研修/学習,Supporting training and learning content.,研修・学習コンテンツ支援。,Avoid personal data exposure.,learning plan,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-027,Marketing Content,マーケティング,Supporting marketing content generation.,マーケティングコンテンツ生成支援。,Ensure brand/legal review.,ad copy,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-028,Research,調査/リサーチ,Supporting research and investigation.,調査・リサーチ支援。,Check citation and source reliability.,research,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-029,Decision Support,意思決定支援,Supporting decisions with recommendations.,推奨による意思決定支援。,Explainability and accountability required.,recommendation,active,0.1.0,,,,true,,AIMO WG,2026-02-03
AIMO-STD,0.1.0,UC,Use Case Class,ユースケース分類,UC-030,Other,その他,Other use cases not covered above.,上記に含まれないユースケース。,Use with free-text description and review.,other,active,0.1.0,,,,true,,AIMO WG,2026-02-03
